,有價證券代號及名稱
812,6278　台表科
813,6281　全國電
814,6282　康舒
815,6283　淳安
816,6285　啟碁
817,6288　聯嘉
818,6405　悅城
819,6409　旭隼
820,6412　群電
821,6414　樺漢
822,6415　矽力*-KY
823,6416　瑞祺電通
824,6426　統新
825,6431　光麗-KY
826,6438　迅得
827,6442　光聖
828,6443　元晶
829,6446　藥華藥
830,6449　鈺邦
831,6451　訊芯-KY
832,6456　GIS-KY
833,6464　台數科
834,6472　保瑞
835,6477　安集
836,6491　晶碩
837,6504　南六
838,6505　台塑化
839,6515　穎崴
840,6525　捷敏-KY
841,6526　達發
842,6531　愛普*
843,6533　晶心科
844,6541　泰福-KY
845,6550　北極星藥業-KY
846,6552　易華電
847,6558　興能高
848,6573　虹揚-KY
849,6579　研揚
850,6581　鋼聯
851,6582　申豐
852,6585　鼎基
853,6591　動力-KY
854,6592　和潤企業
855,6598　ABC-KY
856,6605　帝寶
857,6606　建德工業
858,6625　必應
859,6641　基士德-KY
860,6655　科定
861,6657　華安
862,6658　聯策
863,6666　羅麗芬-KY
864,6668　中揚光
865,6669　緯穎
866,6670　復盛應用
867,6671　三能-KY
868,6672　騰輝電子-KY
869,6674　鋐寶科技
870,6689　伊雲谷
871,6691　洋基工程
872,6695　芯鼎
873,6698　旭暉應材
874,6706　惠特
875,6715　嘉基
876,6719　力智
877,6742　澤米
878,6743　安普新
879,6753　龍德造船
880,6754　匯僑設計
881,6756　威鋒電子
882,6768　志強-KY
883,6770　力積電
884,6776　展碁國際
885,6781　AES-KY
886,6782　視陽
887,6789　采鈺
888,6790　永豐實
889,6792　詠業
890,6796　晉弘
891,6799　來頡
892,6805　富世達
893,6806　森崴能源
894,6807　峰源-KY
895,6830　汎銓
896,6834　天二科技
897,6835　圓裕
898,6838　台新藥
899,6861　睿生光電
900,6863　永道-KY
901,6869　雲豹能源
902,6890　來億-KY
903,6901　鑽石投資
904,6906　現觀科
905,6914　阜爾運通
906,6916　華凌
907,6928　攸泰科技
908,6933　AMAX-KY
909,6937　天虹
910,6952　大武山
911,6957　裕慶-KY
912,8011　台通
913,8016　矽創
914,8021　尖點
915,8028　昇陽半導體
916,8033　雷虎
917,8039　台虹
918,8046　南電
919,8070　長華*
920,8072　陞泰
921,8081　致新
922,8101　華冠
923,8103　瀚荃
924,8104　錸寶
925,8105　凌巨
926,8110　華東
927,8112　至上
928,8114　振樺電
929,8131　福懋科
930,8150　南茂
931,8163　達方
932,8201　無敵
933,8210　勤誠
934,8213　志超
